params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 30000 steps ...
    65/30000: episode: 1, duration: 2.119s, episode steps:  65, steps per second:  31, episode reward: -32.270, mean reward: -0.496 [-31.974,  2.810], mean action: 11.138 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   786/30000: episode: 12, duration: 0.763s, episode steps:  65, steps per second:  85, episode reward: -40.500, mean reward: -0.623 [-32.189,  3.000], mean action: 15.446 [6.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   876/30000: episode: 13, duration: 1.115s, episode steps:  90, steps per second:  81, episode reward: 32.875, mean reward:  0.365 [-3.000, 32.320], mean action: 15.133 [6.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   942/30000: episode: 14, duration: 1.183s, episode steps:  66, steps per second:  56, episode reward: -34.900, mean reward: -0.529 [-32.556,  3.146], mean action: 14.409 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  1007/30000: episode: 15, duration: 3.113s, episode steps:  65, steps per second:  21, episode reward: -42.590, mean reward: -0.655 [-32.084,  3.000], mean action: 13.815 [7.000, 21.000],  loss: 0.014148, mae: 0.446780, mean_q: 0.859520, mean_eps: 0.000000
  1047/30000: episode: 16, duration: 0.967s, episode steps:  40, steps per second:  41, episode reward: -43.640, mean reward: -1.091 [-32.125,  2.339], mean action: 15.150 [3.000, 21.000],  loss: 0.008049, mae: 0.417002, mean_q: 0.187081, mean_eps: 0.000000
  1122/30000: episode: 17, duration: 1.752s, episode steps:  75, steps per second:  43, episode reward: 35.770, mean reward:  0.477 [-2.641, 32.140], mean action: 10.333 [1.000, 21.000],  loss: 0.009725, mae: 0.408460, mean_q: 0.132703, mean_eps: 0.000000
  1168/30000: episode: 18, duration: 1.595s, episode steps:  46, steps per second:  29, episode reward: -32.600, mean reward: -0.709 [-32.519,  3.000], mean action: 11.174 [6.000, 21.000],  loss: 0.010191, mae: 0.408854, mean_q: 0.118797, mean_eps: 0.000000
  1273/30000: episode: 19, duration: 4.662s, episode steps: 105, steps per second:  23, episode reward: 32.685, mean reward:  0.311 [-2.763, 32.050], mean action: 9.562 [1.000, 21.000],  loss: 0.008342, mae: 0.397053, mean_q: 0.094177, mean_eps: 0.000000
  1319/30000: episode: 20, duration: 1.344s, episode steps:  46, steps per second:  34, episode reward: -35.430, mean reward: -0.770 [-32.119,  3.331], mean action: 12.804 [1.000, 21.000],  loss: 0.009272, mae: 0.380281, mean_q: 0.111874, mean_eps: 0.000000
  1458/30000: episode: 21, duration: 3.816s, episode steps: 139, steps per second:  36, episode reward: 38.928, mean reward:  0.280 [-3.000, 32.083], mean action: 9.871 [0.000, 21.000],  loss: 0.009642, mae: 0.389061, mean_q: 0.089281, mean_eps: 0.000000
  1548/30000: episode: 22, duration: 2.057s, episode steps:  90, steps per second:  44, episode reward: -32.740, mean reward: -0.364 [-32.181,  3.000], mean action: 13.322 [1.000, 21.000],  loss: 0.008780, mae: 0.390287, mean_q: 0.092810, mean_eps: 0.000000
  1614/30000: episode: 23, duration: 1.433s, episode steps:  66, steps per second:  46, episode reward: 32.968, mean reward:  0.500 [-2.787, 32.090], mean action: 11.727 [1.000, 21.000],  loss: 0.008188, mae: 0.389601, mean_q: 0.085996, mean_eps: 0.000000
  1661/30000: episode: 24, duration: 1.385s, episode steps:  47, steps per second:  34, episode reward: 37.616, mean reward:  0.800 [-2.470, 31.923], mean action: 7.319 [1.000, 21.000],  loss: 0.010654, mae: 0.370079, mean_q: 0.143344, mean_eps: 0.000000
  1708/30000: episode: 25, duration: 1.467s, episode steps:  47, steps per second:  32, episode reward: 34.874, mean reward:  0.742 [-2.704, 32.118], mean action: 16.298 [6.000, 21.000],  loss: 0.009952, mae: 0.371313, mean_q: 0.139773, mean_eps: 0.000000
  1747/30000: episode: 26, duration: 0.931s, episode steps:  39, steps per second:  42, episode reward: -35.340, mean reward: -0.906 [-32.635,  2.379], mean action: 12.231 [3.000, 21.000],  loss: 0.008709, mae: 0.366537, mean_q: 0.134170, mean_eps: 0.000000
  1837/30000: episode: 27, duration: 3.440s, episode steps:  90, steps per second:  26, episode reward: -35.150, mean reward: -0.391 [-32.593,  3.000], mean action: 12.444 [1.000, 21.000],  loss: 0.009544, mae: 0.371318, mean_q: 0.113398, mean_eps: 0.000000
  1891/30000: episode: 28, duration: 1.409s, episode steps:  54, steps per second:  38, episode reward: 32.284, mean reward:  0.598 [-3.000, 32.500], mean action: 11.667 [1.000, 21.000],  loss: 0.011080, mae: 0.362729, mean_q: 0.142600, mean_eps: 0.000000
  1976/30000: episode: 29, duration: 2.533s, episode steps:  85, steps per second:  34, episode reward: 33.000, mean reward:  0.388 [-3.000, 32.470], mean action: 12.647 [1.000, 21.000],  loss: 0.008138, mae: 0.352127, mean_q: 0.124737, mean_eps: 0.000000
  2034/30000: episode: 30, duration: 2.456s, episode steps:  58, steps per second:  24, episode reward: 35.026, mean reward:  0.604 [-2.693, 32.479], mean action: 9.948 [1.000, 21.000],  loss: 0.009593, mae: 0.343497, mean_q: 0.145570, mean_eps: 0.000000
  2095/30000: episode: 31, duration: 1.461s, episode steps:  61, steps per second:  42, episode reward: -37.900, mean reward: -0.621 [-31.999,  2.240], mean action: 15.525 [1.000, 21.000],  loss: 0.009990, mae: 0.361459, mean_q: 0.126299, mean_eps: 0.000000
  2139/30000: episode: 32, duration: 1.186s, episode steps:  44, steps per second:  37, episode reward: -32.920, mean reward: -0.748 [-32.124,  2.690], mean action: 10.932 [3.000, 21.000],  loss: 0.007300, mae: 0.333767, mean_q: 0.137951, mean_eps: 0.000000
  2177/30000: episode: 33, duration: 1.525s, episode steps:  38, steps per second:  25, episode reward: 37.865, mean reward:  0.996 [-2.302, 32.024], mean action: 11.711 [1.000, 21.000],  loss: 0.010375, mae: 0.347902, mean_q: 0.150021, mean_eps: 0.000000
  2213/30000: episode: 34, duration: 1.284s, episode steps:  36, steps per second:  28, episode reward: 40.572, mean reward:  1.127 [-2.402, 32.070], mean action: 9.972 [1.000, 21.000],  loss: 0.009636, mae: 0.334896, mean_q: 0.196622, mean_eps: 0.000000
  2241/30000: episode: 35, duration: 0.934s, episode steps:  28, steps per second:  30, episode reward: 41.761, mean reward:  1.491 [-2.625, 32.290], mean action: 4.286 [1.000, 17.000],  loss: 0.009532, mae: 0.346611, mean_q: 0.140991, mean_eps: 0.000000
  2264/30000: episode: 36, duration: 0.782s, episode steps:  23, steps per second:  29, episode reward: 41.190, mean reward:  1.791 [-2.248, 32.160], mean action: 4.261 [1.000, 15.000],  loss: 0.010709, mae: 0.375778, mean_q: 0.115166, mean_eps: 0.000000
  2295/30000: episode: 37, duration: 0.789s, episode steps:  31, steps per second:  39, episode reward: 41.451, mean reward:  1.337 [-2.352, 31.768], mean action: 5.484 [1.000, 16.000],  loss: 0.008206, mae: 0.343472, mean_q: 0.171554, mean_eps: 0.000000
  2355/30000: episode: 38, duration: 1.721s, episode steps:  60, steps per second:  35, episode reward: 35.347, mean reward:  0.589 [-2.359, 32.050], mean action: 6.183 [0.000, 21.000],  loss: 0.009448, mae: 0.331289, mean_q: 0.171309, mean_eps: 0.000000
  2415/30000: episode: 39, duration: 1.206s, episode steps:  60, steps per second:  50, episode reward: -43.250, mean reward: -0.721 [-32.186,  2.154], mean action: 11.083 [1.000, 21.000],  loss: 0.009792, mae: 0.328808, mean_q: 0.163820, mean_eps: 0.000000
  2444/30000: episode: 40, duration: 0.713s, episode steps:  29, steps per second:  41, episode reward: 41.467, mean reward:  1.430 [-2.317, 32.300], mean action: 3.759 [1.000, 16.000],  loss: 0.011512, mae: 0.345053, mean_q: 0.167348, mean_eps: 0.000000
  2480/30000: episode: 41, duration: 1.289s, episode steps:  36, steps per second:  28, episode reward: -40.730, mean reward: -1.131 [-32.391,  2.530], mean action: 13.361 [1.000, 21.000],  loss: 0.009588, mae: 0.338552, mean_q: 0.156587, mean_eps: 0.000000
  2536/30000: episode: 42, duration: 1.549s, episode steps:  56, steps per second:  36, episode reward: 38.215, mean reward:  0.682 [-2.674, 32.230], mean action: 5.286 [1.000, 16.000],  loss: 0.008600, mae: 0.326402, mean_q: 0.151274, mean_eps: 0.000000
  2567/30000: episode: 43, duration: 0.745s, episode steps:  31, steps per second:  42, episode reward: 38.053, mean reward:  1.228 [-3.000, 32.474], mean action: 10.065 [1.000, 21.000],  loss: 0.010304, mae: 0.336645, mean_q: 0.158533, mean_eps: 0.000000
  2626/30000: episode: 44, duration: 1.434s, episode steps:  59, steps per second:  41, episode reward: 43.738, mean reward:  0.741 [-2.035, 32.284], mean action: 4.542 [1.000, 21.000],  loss: 0.009881, mae: 0.327332, mean_q: 0.160561, mean_eps: 0.000000
  2649/30000: episode: 45, duration: 0.514s, episode steps:  23, steps per second:  45, episode reward: 44.015, mean reward:  1.914 [-2.153, 32.180], mean action: 4.870 [1.000, 16.000],  loss: 0.010428, mae: 0.329383, mean_q: 0.172519, mean_eps: 0.000000
  2674/30000: episode: 46, duration: 0.905s, episode steps:  25, steps per second:  28, episode reward: 41.078, mean reward:  1.643 [-2.563, 32.002], mean action: 6.880 [1.000, 15.000],  loss: 0.008850, mae: 0.322360, mean_q: 0.162818, mean_eps: 0.000000
  2710/30000: episode: 47, duration: 1.064s, episode steps:  36, steps per second:  34, episode reward: 39.000, mean reward:  1.083 [-2.671, 32.280], mean action: 3.000 [1.000, 18.000],  loss: 0.011498, mae: 0.346606, mean_q: 0.174790, mean_eps: 0.000000
  2754/30000: episode: 48, duration: 1.631s, episode steps:  44, steps per second:  27, episode reward: 35.610, mean reward:  0.809 [-2.427, 32.350], mean action: 5.432 [1.000, 17.000],  loss: 0.011264, mae: 0.340902, mean_q: 0.188417, mean_eps: 0.000000
  2793/30000: episode: 49, duration: 0.863s, episode steps:  39, steps per second:  45, episode reward: 32.470, mean reward:  0.833 [-3.000, 32.151], mean action: 10.179 [3.000, 21.000],  loss: 0.010462, mae: 0.342678, mean_q: 0.173337, mean_eps: 0.000000
  2807/30000: episode: 50, duration: 0.304s, episode steps:  14, steps per second:  46, episode reward: 47.218, mean reward:  3.373 [-0.009, 32.200], mean action: 3.643 [1.000, 15.000],  loss: 0.006971, mae: 0.302517, mean_q: 0.262682, mean_eps: 0.000000
  2842/30000: episode: 51, duration: 0.928s, episode steps:  35, steps per second:  38, episode reward: 36.599, mean reward:  1.046 [-3.000, 32.040], mean action: 4.143 [1.000, 15.000],  loss: 0.011614, mae: 0.332820, mean_q: 0.252367, mean_eps: 0.000000
  2913/30000: episode: 52, duration: 1.491s, episode steps:  71, steps per second:  48, episode reward: 35.596, mean reward:  0.501 [-2.340, 29.887], mean action: 3.352 [1.000, 15.000],  loss: 0.008716, mae: 0.320390, mean_q: 0.274776, mean_eps: 0.000000
  2933/30000: episode: 53, duration: 0.447s, episode steps:  20, steps per second:  45, episode reward: 47.747, mean reward:  2.387 [ 0.000, 32.360], mean action: 3.400 [1.000, 15.000],  loss: 0.014207, mae: 0.342680, mean_q: 0.274771, mean_eps: 0.000000
  2967/30000: episode: 54, duration: 0.637s, episode steps:  34, steps per second:  53, episode reward: 41.448, mean reward:  1.219 [-2.164, 31.528], mean action: 4.912 [1.000, 15.000],  loss: 0.010781, mae: 0.323593, mean_q: 0.259913, mean_eps: 0.000000
  3016/30000: episode: 55, duration: 0.984s, episode steps:  49, steps per second:  50, episode reward: -32.970, mean reward: -0.673 [-32.970,  3.000], mean action: 4.000 [1.000, 21.000],  loss: 0.010246, mae: 0.320556, mean_q: 0.256655, mean_eps: 0.000000
  3099/30000: episode: 56, duration: 2.189s, episode steps:  83, steps per second:  38, episode reward: 32.126, mean reward:  0.387 [-3.000, 32.140], mean action: 10.855 [1.000, 21.000],  loss: 0.011172, mae: 0.326825, mean_q: 0.280581, mean_eps: 0.000000
  3130/30000: episode: 57, duration: 0.736s, episode steps:  31, steps per second:  42, episode reward: 41.135, mean reward:  1.327 [-2.546, 32.020], mean action: 1.968 [1.000, 15.000],  loss: 0.011441, mae: 0.320249, mean_q: 0.342627, mean_eps: 0.000000
  3172/30000: episode: 58, duration: 1.476s, episode steps:  42, steps per second:  28, episode reward: 37.723, mean reward:  0.898 [-2.309, 32.240], mean action: 7.452 [1.000, 16.000],  loss: 0.010782, mae: 0.317586, mean_q: 0.344985, mean_eps: 0.000000
  3216/30000: episode: 59, duration: 1.719s, episode steps:  44, steps per second:  26, episode reward: -38.060, mean reward: -0.865 [-32.089,  2.713], mean action: 8.523 [1.000, 21.000],  loss: 0.009627, mae: 0.305562, mean_q: 0.355052, mean_eps: 0.000000
  3252/30000: episode: 60, duration: 1.118s, episode steps:  36, steps per second:  32, episode reward: 35.093, mean reward:  0.975 [-3.000, 32.269], mean action: 5.194 [1.000, 21.000],  loss: 0.010754, mae: 0.316801, mean_q: 0.337653, mean_eps: 0.000000
  3282/30000: episode: 61, duration: 0.792s, episode steps:  30, steps per second:  38, episode reward: 36.000, mean reward:  1.200 [-2.240, 32.540], mean action: 5.133 [1.000, 16.000],  loss: 0.011518, mae: 0.318426, mean_q: 0.330319, mean_eps: 0.000000
  3349/30000: episode: 62, duration: 2.076s, episode steps:  67, steps per second:  32, episode reward: 32.600, mean reward:  0.487 [-2.480, 32.826], mean action: 13.761 [1.000, 21.000],  loss: 0.011754, mae: 0.330004, mean_q: 0.340906, mean_eps: 0.000000
  3425/30000: episode: 63, duration: 1.483s, episode steps:  76, steps per second:  51, episode reward: 32.782, mean reward:  0.431 [-2.171, 32.350], mean action: 12.158 [1.000, 21.000],  loss: 0.010334, mae: 0.325431, mean_q: 0.303781, mean_eps: 0.000000
  3451/30000: episode: 64, duration: 0.468s, episode steps:  26, steps per second:  56, episode reward: 38.877, mean reward:  1.495 [-3.000, 32.500], mean action: 3.615 [1.000, 16.000],  loss: 0.014041, mae: 0.332121, mean_q: 0.412222, mean_eps: 0.000000
  3506/30000: episode: 65, duration: 0.982s, episode steps:  55, steps per second:  56, episode reward: -32.710, mean reward: -0.595 [-32.302,  2.690], mean action: 8.091 [1.000, 16.000],  loss: 0.010648, mae: 0.321013, mean_q: 0.370156, mean_eps: 0.000000
  3539/30000: episode: 66, duration: 0.598s, episode steps:  33, steps per second:  55, episode reward: 40.216, mean reward:  1.219 [-2.075, 32.243], mean action: 4.121 [1.000, 16.000],  loss: 0.010253, mae: 0.327457, mean_q: 0.264700, mean_eps: 0.000000
  3565/30000: episode: 67, duration: 0.516s, episode steps:  26, steps per second:  50, episode reward: 38.292, mean reward:  1.473 [-2.546, 31.809], mean action: 4.731 [1.000, 17.000],  loss: 0.012529, mae: 0.319723, mean_q: 0.316450, mean_eps: 0.000000
  3598/30000: episode: 68, duration: 0.668s, episode steps:  33, steps per second:  49, episode reward: 41.362, mean reward:  1.253 [-3.000, 32.469], mean action: 3.727 [1.000, 12.000],  loss: 0.009998, mae: 0.324525, mean_q: 0.263602, mean_eps: 0.000000
  3657/30000: episode: 69, duration: 1.121s, episode steps:  59, steps per second:  53, episode reward: -32.140, mean reward: -0.545 [-32.624,  2.532], mean action: 5.441 [1.000, 21.000],  loss: 0.011421, mae: 0.331322, mean_q: 0.280105, mean_eps: 0.000000
  3688/30000: episode: 70, duration: 0.565s, episode steps:  31, steps per second:  55, episode reward: 41.041, mean reward:  1.324 [-2.768, 32.300], mean action: 7.452 [1.000, 21.000],  loss: 0.010775, mae: 0.337786, mean_q: 0.239571, mean_eps: 0.000000
  3709/30000: episode: 71, duration: 0.404s, episode steps:  21, steps per second:  52, episode reward: 41.523, mean reward:  1.977 [-2.048, 32.153], mean action: 3.286 [1.000, 15.000],  loss: 0.010563, mae: 0.334810, mean_q: 0.257200, mean_eps: 0.000000
  3758/30000: episode: 72, duration: 0.984s, episode steps:  49, steps per second:  50, episode reward: 41.748, mean reward:  0.852 [-2.324, 32.198], mean action: 3.571 [1.000, 15.000],  loss: 0.012736, mae: 0.328915, mean_q: 0.273926, mean_eps: 0.000000
  3781/30000: episode: 73, duration: 0.587s, episode steps:  23, steps per second:  39, episode reward: 38.135, mean reward:  1.658 [-2.416, 32.410], mean action: 3.696 [1.000, 14.000],  loss: 0.009498, mae: 0.317905, mean_q: 0.269133, mean_eps: 0.000000
  3831/30000: episode: 74, duration: 1.120s, episode steps:  50, steps per second:  45, episode reward: 32.417, mean reward:  0.648 [-2.817, 32.224], mean action: 7.380 [1.000, 21.000],  loss: 0.009608, mae: 0.321764, mean_q: 0.279678, mean_eps: 0.000000
  3870/30000: episode: 75, duration: 0.907s, episode steps:  39, steps per second:  43, episode reward: 40.615, mean reward:  1.041 [-2.894, 32.140], mean action: 2.718 [1.000, 14.000],  loss: 0.010196, mae: 0.320392, mean_q: 0.293546, mean_eps: 0.000000
  3906/30000: episode: 76, duration: 1.008s, episode steps:  36, steps per second:  36, episode reward: 32.526, mean reward:  0.903 [-3.000, 31.858], mean action: 5.944 [1.000, 18.000],  loss: 0.012375, mae: 0.331433, mean_q: 0.270427, mean_eps: 0.000000
  3938/30000: episode: 77, duration: 0.817s, episode steps:  32, steps per second:  39, episode reward: -36.000, mean reward: -1.125 [-32.128,  2.430], mean action: 5.031 [1.000, 21.000],  loss: 0.011655, mae: 0.316568, mean_q: 0.282433, mean_eps: 0.000000
  3965/30000: episode: 78, duration: 0.948s, episode steps:  27, steps per second:  28, episode reward: 45.921, mean reward:  1.701 [-0.845, 32.040], mean action: 7.222 [1.000, 21.000],  loss: 0.007874, mae: 0.305424, mean_q: 0.268466, mean_eps: 0.000000
  3983/30000: episode: 79, duration: 0.462s, episode steps:  18, steps per second:  39, episode reward: 41.806, mean reward:  2.323 [-2.621, 30.281], mean action: 5.944 [1.000, 21.000],  loss: 0.013019, mae: 0.312238, mean_q: 0.338840, mean_eps: 0.000000
  4023/30000: episode: 80, duration: 1.059s, episode steps:  40, steps per second:  38, episode reward: 37.642, mean reward:  0.941 [-3.000, 32.090], mean action: 7.350 [1.000, 16.000],  loss: 0.009315, mae: 0.309337, mean_q: 0.284621, mean_eps: 0.000000
  4092/30000: episode: 81, duration: 1.560s, episode steps:  69, steps per second:  44, episode reward: 33.000, mean reward:  0.478 [-2.514, 32.280], mean action: 6.580 [1.000, 17.000],  loss: 0.011873, mae: 0.318694, mean_q: 0.262019, mean_eps: 0.000000
  4122/30000: episode: 82, duration: 0.585s, episode steps:  30, steps per second:  51, episode reward: 42.000, mean reward:  1.400 [-3.000, 32.180], mean action: 3.533 [0.000, 14.000],  loss: 0.013326, mae: 0.325312, mean_q: 0.302362, mean_eps: 0.000000
  4168/30000: episode: 83, duration: 0.848s, episode steps:  46, steps per second:  54, episode reward: -32.620, mean reward: -0.709 [-32.506,  2.400], mean action: 7.870 [1.000, 17.000],  loss: 0.010330, mae: 0.316382, mean_q: 0.276071, mean_eps: 0.000000
  4236/30000: episode: 84, duration: 1.543s, episode steps:  68, steps per second:  44, episode reward: -32.820, mean reward: -0.483 [-32.295,  3.000], mean action: 5.853 [1.000, 17.000],  loss: 0.011709, mae: 0.314904, mean_q: 0.269539, mean_eps: 0.000000
  4264/30000: episode: 85, duration: 0.560s, episode steps:  28, steps per second:  50, episode reward: 38.490, mean reward:  1.375 [-2.480, 31.883], mean action: 6.321 [1.000, 15.000],  loss: 0.010752, mae: 0.297726, mean_q: 0.297940, mean_eps: 0.000000
  4297/30000: episode: 86, duration: 0.801s, episode steps:  33, steps per second:  41, episode reward: 38.926, mean reward:  1.180 [-2.435, 32.299], mean action: 4.545 [1.000, 15.000],  loss: 0.012483, mae: 0.314209, mean_q: 0.244326, mean_eps: 0.000000
  4348/30000: episode: 87, duration: 1.163s, episode steps:  51, steps per second:  44, episode reward: -30.000, mean reward: -0.588 [-30.056,  2.499], mean action: 5.392 [1.000, 16.000],  loss: 0.012700, mae: 0.312221, mean_q: 0.267536, mean_eps: 0.000000
  4427/30000: episode: 88, duration: 1.747s, episode steps:  79, steps per second:  45, episode reward: -32.670, mean reward: -0.414 [-33.000,  2.951], mean action: 8.101 [1.000, 17.000],  loss: 0.012359, mae: 0.315320, mean_q: 0.271320, mean_eps: 0.000000
  4451/30000: episode: 89, duration: 0.564s, episode steps:  24, steps per second:  43, episode reward: 38.556, mean reward:  1.606 [-2.429, 32.556], mean action: 2.917 [1.000, 17.000],  loss: 0.014180, mae: 0.330629, mean_q: 0.305724, mean_eps: 0.000000
  4484/30000: episode: 90, duration: 0.830s, episode steps:  33, steps per second:  40, episode reward: 38.137, mean reward:  1.156 [-2.347, 32.020], mean action: 2.970 [1.000, 21.000],  loss: 0.011209, mae: 0.329602, mean_q: 0.206182, mean_eps: 0.000000
  4525/30000: episode: 91, duration: 0.849s, episode steps:  41, steps per second:  48, episode reward: 40.886, mean reward:  0.997 [-3.000, 32.030], mean action: 3.049 [1.000, 16.000],  loss: 0.012256, mae: 0.307945, mean_q: 0.312917, mean_eps: 0.000000
  4547/30000: episode: 92, duration: 0.516s, episode steps:  22, steps per second:  43, episode reward: 38.956, mean reward:  1.771 [-2.801, 32.350], mean action: 4.545 [1.000, 15.000],  loss: 0.011063, mae: 0.311226, mean_q: 0.296541, mean_eps: 0.000000
  4570/30000: episode: 93, duration: 0.433s, episode steps:  23, steps per second:  53, episode reward: 39.000, mean reward:  1.696 [-3.000, 32.130], mean action: 3.826 [1.000, 15.000],  loss: 0.013015, mae: 0.319593, mean_q: 0.257036, mean_eps: 0.000000
  4633/30000: episode: 94, duration: 1.236s, episode steps:  63, steps per second:  51, episode reward: 38.449, mean reward:  0.610 [-2.530, 32.284], mean action: 5.429 [1.000, 15.000],  loss: 0.010940, mae: 0.300283, mean_q: 0.283741, mean_eps: 0.000000
  4672/30000: episode: 95, duration: 0.797s, episode steps:  39, steps per second:  49, episode reward: -34.440, mean reward: -0.883 [-32.223,  2.640], mean action: 6.385 [1.000, 17.000],  loss: 0.012631, mae: 0.311562, mean_q: 0.319957, mean_eps: 0.000000
  4711/30000: episode: 96, duration: 0.792s, episode steps:  39, steps per second:  49, episode reward: -32.290, mean reward: -0.828 [-32.525,  3.000], mean action: 9.205 [1.000, 17.000],  loss: 0.013414, mae: 0.327952, mean_q: 0.251677, mean_eps: 0.000000
  4738/30000: episode: 97, duration: 0.542s, episode steps:  27, steps per second:  50, episode reward: 38.538, mean reward:  1.427 [-2.535, 32.500], mean action: 5.593 [1.000, 21.000],  loss: 0.012292, mae: 0.315962, mean_q: 0.249356, mean_eps: 0.000000
  4754/30000: episode: 98, duration: 0.319s, episode steps:  16, steps per second:  50, episode reward: 41.558, mean reward:  2.597 [-2.099, 31.638], mean action: 3.000 [1.000, 15.000],  loss: 0.010621, mae: 0.302563, mean_q: 0.274056, mean_eps: 0.000000
  4780/30000: episode: 99, duration: 0.538s, episode steps:  26, steps per second:  48, episode reward: 35.691, mean reward:  1.373 [-2.259, 32.021], mean action: 4.000 [1.000, 16.000],  loss: 0.013741, mae: 0.332632, mean_q: 0.229771, mean_eps: 0.000000
  4832/30000: episode: 100, duration: 1.092s, episode steps:  52, steps per second:  48, episode reward: -33.000, mean reward: -0.635 [-32.200,  2.383], mean action: 11.173 [1.000, 21.000],  loss: 0.012361, mae: 0.313652, mean_q: 0.267310, mean_eps: 0.000000
  4876/30000: episode: 101, duration: 0.951s, episode steps:  44, steps per second:  46, episode reward: 39.000, mean reward:  0.886 [-3.000, 32.200], mean action: 2.727 [1.000, 21.000],  loss: 0.012951, mae: 0.315295, mean_q: 0.277713, mean_eps: 0.000000
  4919/30000: episode: 102, duration: 0.863s, episode steps:  43, steps per second:  50, episode reward: 32.569, mean reward:  0.757 [-3.000, 32.110], mean action: 6.233 [1.000, 21.000],  loss: 0.012540, mae: 0.326070, mean_q: 0.212495, mean_eps: 0.000000
  4943/30000: episode: 103, duration: 0.505s, episode steps:  24, steps per second:  48, episode reward: 41.259, mean reward:  1.719 [-2.906, 31.955], mean action: 3.500 [1.000, 15.000],  loss: 0.013313, mae: 0.315958, mean_q: 0.274490, mean_eps: 0.000000
  4974/30000: episode: 104, duration: 0.646s, episode steps:  31, steps per second:  48, episode reward: 33.000, mean reward:  1.065 [-2.806, 32.380], mean action: 6.258 [1.000, 15.000],  loss: 0.013522, mae: 0.310458, mean_q: 0.285975, mean_eps: 0.000000
  5011/30000: episode: 105, duration: 0.761s, episode steps:  37, steps per second:  49, episode reward: 41.054, mean reward:  1.110 [-2.319, 32.248], mean action: 2.622 [1.000, 21.000],  loss: 0.013213, mae: 0.317420, mean_q: 0.292374, mean_eps: 0.000000
  5035/30000: episode: 106, duration: 0.539s, episode steps:  24, steps per second:  45, episode reward: 44.201, mean reward:  1.842 [-2.403, 32.280], mean action: 4.167 [1.000, 20.000],  loss: 0.012458, mae: 0.311294, mean_q: 0.271355, mean_eps: 0.000000
