params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 30000 steps ...
    43/30000: episode: 1, duration: 0.512s, episode steps:  43, steps per second:  84, episode reward: -34.890, mean reward: -0.811 [-32.604,  2.901], mean action: 15.419 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   949/30000: episode: 12, duration: 0.406s, episode steps:  65, steps per second: 160, episode reward: -37.480, mean reward: -0.577 [-32.067,  3.000], mean action: 15.846 [3.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
   989/30000: episode: 13, duration: 0.276s, episode steps:  40, steps per second: 145, episode reward: -43.590, mean reward: -1.090 [-32.691,  2.020], mean action: 16.250 [10.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
  1035/30000: episode: 14, duration: 1.153s, episode steps:  46, steps per second:  40, episode reward: 37.664, mean reward:  0.819 [-2.292, 34.700], mean action: 10.435 [1.000, 21.000],  loss: 0.009518, mae: 0.409807, mean_q: 0.361863, mean_eps: 0.000000
  1068/30000: episode: 15, duration: 0.403s, episode steps:  33, steps per second:  82, episode reward: 43.424, mean reward:  1.316 [-2.043, 32.350], mean action: 5.091 [1.000, 15.000],  loss: 0.008650, mae: 0.378404, mean_q: 0.227384, mean_eps: 0.000000
  1110/30000: episode: 16, duration: 0.440s, episode steps:  42, steps per second:  95, episode reward: 32.465, mean reward:  0.773 [-2.490, 32.270], mean action: 4.476 [1.000, 21.000],  loss: 0.008225, mae: 0.360766, mean_q: 0.238887, mean_eps: 0.000000
  1178/30000: episode: 17, duration: 0.928s, episode steps:  68, steps per second:  73, episode reward: 43.634, mean reward:  0.642 [-2.423, 32.460], mean action: 3.603 [1.000, 21.000],  loss: 0.008840, mae: 0.357859, mean_q: 0.209071, mean_eps: 0.000000
  1226/30000: episode: 18, duration: 0.828s, episode steps:  48, steps per second:  58, episode reward: -42.230, mean reward: -0.880 [-32.363,  2.219], mean action: 14.021 [1.000, 21.000],  loss: 0.007632, mae: 0.357749, mean_q: 0.184612, mean_eps: 0.000000
  1270/30000: episode: 19, duration: 0.724s, episode steps:  44, steps per second:  61, episode reward: 32.495, mean reward:  0.739 [-3.000, 32.140], mean action: 8.386 [1.000, 21.000],  loss: 0.009890, mae: 0.352752, mean_q: 0.199408, mean_eps: 0.000000
  1291/30000: episode: 20, duration: 0.246s, episode steps:  21, steps per second:  86, episode reward: 38.086, mean reward:  1.814 [-3.000, 31.940], mean action: 4.762 [1.000, 21.000],  loss: 0.009749, mae: 0.368945, mean_q: 0.168217, mean_eps: 0.000000
  1364/30000: episode: 21, duration: 1.020s, episode steps:  73, steps per second:  72, episode reward: 37.830, mean reward:  0.518 [-2.460, 32.133], mean action: 5.055 [1.000, 18.000],  loss: 0.007600, mae: 0.354377, mean_q: 0.194077, mean_eps: 0.000000
  1424/30000: episode: 22, duration: 0.648s, episode steps:  60, steps per second:  93, episode reward: 32.842, mean reward:  0.547 [-2.348, 32.150], mean action: 5.367 [1.000, 17.000],  loss: 0.008539, mae: 0.354321, mean_q: 0.206642, mean_eps: 0.000000
  1475/30000: episode: 23, duration: 1.637s, episode steps:  51, steps per second:  31, episode reward: -32.320, mean reward: -0.634 [-31.957,  2.761], mean action: 9.922 [1.000, 21.000],  loss: 0.007749, mae: 0.342809, mean_q: 0.213489, mean_eps: 0.000000
  1594/30000: episode: 24, duration: 1.818s, episode steps: 119, steps per second:  65, episode reward: -32.540, mean reward: -0.273 [-31.955,  2.376], mean action: 5.118 [1.000, 21.000],  loss: 0.008433, mae: 0.340367, mean_q: 0.217404, mean_eps: 0.000000
  1656/30000: episode: 25, duration: 0.946s, episode steps:  62, steps per second:  66, episode reward: -32.080, mean reward: -0.517 [-32.161,  2.623], mean action: 6.758 [1.000, 21.000],  loss: 0.007607, mae: 0.349598, mean_q: 0.197015, mean_eps: 0.000000
  1713/30000: episode: 26, duration: 0.580s, episode steps:  57, steps per second:  98, episode reward: -32.480, mean reward: -0.570 [-32.034,  2.623], mean action: 8.211 [1.000, 21.000],  loss: 0.009540, mae: 0.350263, mean_q: 0.183920, mean_eps: 0.000000
  1825/30000: episode: 27, duration: 1.151s, episode steps: 112, steps per second:  97, episode reward: -32.590, mean reward: -0.291 [-32.160,  3.000], mean action: 7.848 [1.000, 21.000],  loss: 0.009546, mae: 0.353406, mean_q: 0.167048, mean_eps: 0.000000
  1882/30000: episode: 28, duration: 0.757s, episode steps:  57, steps per second:  75, episode reward: 40.890, mean reward:  0.717 [-2.358, 32.110], mean action: 3.281 [0.000, 21.000],  loss: 0.009108, mae: 0.359251, mean_q: 0.163390, mean_eps: 0.000000
  1920/30000: episode: 29, duration: 0.417s, episode steps:  38, steps per second:  91, episode reward: 47.476, mean reward:  1.249 [-0.500, 32.063], mean action: 3.947 [3.000, 17.000],  loss: 0.008296, mae: 0.352536, mean_q: 0.170148, mean_eps: 0.000000
  1960/30000: episode: 30, duration: 0.452s, episode steps:  40, steps per second:  89, episode reward: 43.242, mean reward:  1.081 [-2.294, 31.816], mean action: 7.575 [0.000, 21.000],  loss: 0.009124, mae: 0.346075, mean_q: 0.197456, mean_eps: 0.000000
  1997/30000: episode: 31, duration: 0.601s, episode steps:  37, steps per second:  62, episode reward: 40.776, mean reward:  1.102 [-2.810, 32.370], mean action: 9.000 [3.000, 21.000],  loss: 0.009111, mae: 0.347021, mean_q: 0.175418, mean_eps: 0.000000
  2041/30000: episode: 32, duration: 0.664s, episode steps:  44, steps per second:  66, episode reward: 38.433, mean reward:  0.873 [-2.719, 32.180], mean action: 9.250 [0.000, 21.000],  loss: 0.010896, mae: 0.354962, mean_q: 0.156320, mean_eps: 0.000000
  2091/30000: episode: 33, duration: 0.955s, episode steps:  50, steps per second:  52, episode reward: -34.960, mean reward: -0.699 [-31.882,  2.300], mean action: 11.200 [3.000, 21.000],  loss: 0.010443, mae: 0.327526, mean_q: 0.211585, mean_eps: 0.000000
  2132/30000: episode: 34, duration: 0.969s, episode steps:  41, steps per second:  42, episode reward: 33.000, mean reward:  0.805 [-2.673, 32.940], mean action: 8.659 [0.000, 21.000],  loss: 0.009253, mae: 0.321576, mean_q: 0.214074, mean_eps: 0.000000
  2152/30000: episode: 35, duration: 0.585s, episode steps:  20, steps per second:  34, episode reward: 45.256, mean reward:  2.263 [-0.539, 32.292], mean action: 9.000 [0.000, 21.000],  loss: 0.009960, mae: 0.325958, mean_q: 0.197931, mean_eps: 0.000000
  2183/30000: episode: 36, duration: 0.547s, episode steps:  31, steps per second:  57, episode reward: 35.275, mean reward:  1.138 [-2.880, 32.150], mean action: 6.710 [1.000, 17.000],  loss: 0.008993, mae: 0.315478, mean_q: 0.236540, mean_eps: 0.000000
  2217/30000: episode: 37, duration: 0.677s, episode steps:  34, steps per second:  50, episode reward: 38.315, mean reward:  1.127 [-3.000, 32.290], mean action: 3.912 [0.000, 17.000],  loss: 0.010748, mae: 0.329853, mean_q: 0.228804, mean_eps: 0.000000
  2250/30000: episode: 38, duration: 0.412s, episode steps:  33, steps per second:  80, episode reward: 43.096, mean reward:  1.306 [-2.066, 31.973], mean action: 5.727 [1.000, 21.000],  loss: 0.011620, mae: 0.336459, mean_q: 0.209015, mean_eps: 0.000000
  2282/30000: episode: 39, duration: 0.752s, episode steps:  32, steps per second:  43, episode reward: 43.926, mean reward:  1.373 [-2.158, 31.937], mean action: 3.875 [0.000, 8.000],  loss: 0.009647, mae: 0.318691, mean_q: 0.237909, mean_eps: 0.000000
  2320/30000: episode: 40, duration: 0.726s, episode steps:  38, steps per second:  52, episode reward: -41.880, mean reward: -1.102 [-32.867,  2.272], mean action: 8.237 [0.000, 21.000],  loss: 0.010673, mae: 0.318473, mean_q: 0.259655, mean_eps: 0.000000
  2343/30000: episode: 41, duration: 0.333s, episode steps:  23, steps per second:  69, episode reward: 42.000, mean reward:  1.826 [-2.812, 32.230], mean action: 4.087 [0.000, 14.000],  loss: 0.007642, mae: 0.301839, mean_q: 0.233906, mean_eps: 0.000000
  2381/30000: episode: 42, duration: 0.470s, episode steps:  38, steps per second:  81, episode reward: -32.710, mean reward: -0.861 [-31.921,  2.519], mean action: 6.526 [1.000, 21.000],  loss: 0.009978, mae: 0.331308, mean_q: 0.232401, mean_eps: 0.000000
  2421/30000: episode: 43, duration: 0.581s, episode steps:  40, steps per second:  69, episode reward: 38.361, mean reward:  0.959 [-2.937, 32.320], mean action: 8.025 [1.000, 21.000],  loss: 0.010654, mae: 0.316490, mean_q: 0.225387, mean_eps: 0.000000
  2468/30000: episode: 44, duration: 0.698s, episode steps:  47, steps per second:  67, episode reward: 37.956, mean reward:  0.808 [-3.000, 34.310], mean action: 5.447 [0.000, 21.000],  loss: 0.009086, mae: 0.315753, mean_q: 0.241134, mean_eps: 0.000000
  2518/30000: episode: 45, duration: 0.502s, episode steps:  50, steps per second: 100, episode reward: 32.782, mean reward:  0.656 [-2.498, 32.092], mean action: 5.340 [1.000, 21.000],  loss: 0.010462, mae: 0.317004, mean_q: 0.254735, mean_eps: 0.000000
  2549/30000: episode: 46, duration: 0.486s, episode steps:  31, steps per second:  64, episode reward: -32.610, mean reward: -1.052 [-32.290,  3.000], mean action: 6.161 [1.000, 21.000],  loss: 0.009083, mae: 0.305127, mean_q: 0.278944, mean_eps: 0.000000
  2570/30000: episode: 47, duration: 0.291s, episode steps:  21, steps per second:  72, episode reward: 41.850, mean reward:  1.993 [-3.000, 32.290], mean action: 3.095 [1.000, 6.000],  loss: 0.010305, mae: 0.300262, mean_q: 0.275379, mean_eps: 0.000000
  2590/30000: episode: 48, duration: 0.245s, episode steps:  20, steps per second:  82, episode reward: 41.963, mean reward:  2.098 [-3.000, 32.180], mean action: 4.850 [3.000, 21.000],  loss: 0.011862, mae: 0.308612, mean_q: 0.282893, mean_eps: 0.000000
  2612/30000: episode: 49, duration: 0.475s, episode steps:  22, steps per second:  46, episode reward: 47.341, mean reward:  2.152 [-0.646, 31.665], mean action: 4.273 [3.000, 21.000],  loss: 0.008183, mae: 0.289817, mean_q: 0.262556, mean_eps: 0.000000
  2662/30000: episode: 50, duration: 0.504s, episode steps:  50, steps per second:  99, episode reward: 35.588, mean reward:  0.712 [-3.000, 31.882], mean action: 5.180 [1.000, 15.000],  loss: 0.009858, mae: 0.298780, mean_q: 0.288449, mean_eps: 0.000000
  2717/30000: episode: 51, duration: 0.569s, episode steps:  55, steps per second:  97, episode reward: 35.123, mean reward:  0.639 [-2.296, 32.458], mean action: 6.491 [1.000, 21.000],  loss: 0.009924, mae: 0.309654, mean_q: 0.261113, mean_eps: 0.000000
  2749/30000: episode: 52, duration: 0.338s, episode steps:  32, steps per second:  95, episode reward: 37.673, mean reward:  1.177 [-2.617, 32.110], mean action: 5.031 [1.000, 10.000],  loss: 0.010351, mae: 0.313415, mean_q: 0.246024, mean_eps: 0.000000
  2801/30000: episode: 53, duration: 0.521s, episode steps:  52, steps per second: 100, episode reward: -33.000, mean reward: -0.635 [-32.250,  2.941], mean action: 5.038 [1.000, 21.000],  loss: 0.008538, mae: 0.298223, mean_q: 0.265137, mean_eps: 0.000000
  2877/30000: episode: 54, duration: 0.756s, episode steps:  76, steps per second: 100, episode reward: 35.056, mean reward:  0.461 [-2.257, 32.280], mean action: 7.316 [0.000, 21.000],  loss: 0.010586, mae: 0.327042, mean_q: 0.241393, mean_eps: 0.000000
  2908/30000: episode: 55, duration: 0.343s, episode steps:  31, steps per second:  90, episode reward: 41.264, mean reward:  1.331 [-3.000, 36.200], mean action: 10.129 [1.000, 21.000],  loss: 0.010056, mae: 0.306705, mean_q: 0.256077, mean_eps: 0.000000
  2946/30000: episode: 56, duration: 0.395s, episode steps:  38, steps per second:  96, episode reward: 35.419, mean reward:  0.932 [-3.000, 32.770], mean action: 7.947 [1.000, 21.000],  loss: 0.010465, mae: 0.319654, mean_q: 0.206794, mean_eps: 0.000000
  2985/30000: episode: 57, duration: 0.400s, episode steps:  39, steps per second:  97, episode reward: 35.586, mean reward:  0.912 [-2.902, 32.195], mean action: 6.846 [1.000, 21.000],  loss: 0.010820, mae: 0.320511, mean_q: 0.257226, mean_eps: 0.000000
  3038/30000: episode: 58, duration: 0.552s, episode steps:  53, steps per second:  96, episode reward: 38.368, mean reward:  0.724 [-2.314, 32.510], mean action: 7.868 [1.000, 21.000],  loss: 0.009102, mae: 0.304600, mean_q: 0.261248, mean_eps: 0.000000
  3104/30000: episode: 59, duration: 0.736s, episode steps:  66, steps per second:  90, episode reward: -32.300, mean reward: -0.489 [-32.432,  2.483], mean action: 5.803 [1.000, 17.000],  loss: 0.011009, mae: 0.308041, mean_q: 0.261321, mean_eps: 0.000000
  3126/30000: episode: 60, duration: 0.257s, episode steps:  22, steps per second:  86, episode reward: 42.000, mean reward:  1.909 [-2.103, 33.000], mean action: 3.864 [1.000, 15.000],  loss: 0.011440, mae: 0.306657, mean_q: 0.259597, mean_eps: 0.000000
  3156/30000: episode: 61, duration: 0.498s, episode steps:  30, steps per second:  60, episode reward: 40.672, mean reward:  1.356 [-3.000, 31.659], mean action: 4.967 [3.000, 17.000],  loss: 0.011486, mae: 0.327744, mean_q: 0.219835, mean_eps: 0.000000
  3185/30000: episode: 62, duration: 0.339s, episode steps:  29, steps per second:  86, episode reward: 42.990, mean reward:  1.482 [-2.088, 31.734], mean action: 4.276 [1.000, 17.000],  loss: 0.007854, mae: 0.307329, mean_q: 0.224516, mean_eps: 0.000000
  3206/30000: episode: 63, duration: 0.221s, episode steps:  21, steps per second:  95, episode reward: 38.310, mean reward:  1.824 [-3.000, 31.955], mean action: 3.190 [1.000, 7.000],  loss: 0.009305, mae: 0.302774, mean_q: 0.259510, mean_eps: 0.000000
  3273/30000: episode: 64, duration: 0.803s, episode steps:  67, steps per second:  83, episode reward: 39.632, mean reward:  0.592 [-2.373, 32.080], mean action: 7.000 [1.000, 21.000],  loss: 0.012119, mae: 0.316762, mean_q: 0.246736, mean_eps: 0.000000
  3310/30000: episode: 65, duration: 0.410s, episode steps:  37, steps per second:  90, episode reward: -34.860, mean reward: -0.942 [-32.635,  2.260], mean action: 6.730 [1.000, 21.000],  loss: 0.011963, mae: 0.321527, mean_q: 0.259860, mean_eps: 0.000000
  3336/30000: episode: 66, duration: 0.299s, episode steps:  26, steps per second:  87, episode reward: 39.760, mean reward:  1.529 [-3.000, 32.110], mean action: 3.577 [1.000, 8.000],  loss: 0.011586, mae: 0.333059, mean_q: 0.248506, mean_eps: 0.000000
  3404/30000: episode: 67, duration: 0.796s, episode steps:  68, steps per second:  85, episode reward: -33.000, mean reward: -0.485 [-32.356,  3.000], mean action: 4.824 [0.000, 18.000],  loss: 0.012743, mae: 0.324459, mean_q: 0.275312, mean_eps: 0.000000
  3449/30000: episode: 68, duration: 0.497s, episode steps:  45, steps per second:  91, episode reward: 35.467, mean reward:  0.788 [-2.726, 32.183], mean action: 7.578 [1.000, 21.000],  loss: 0.011071, mae: 0.323923, mean_q: 0.230250, mean_eps: 0.000000
  3494/30000: episode: 69, duration: 0.495s, episode steps:  45, steps per second:  91, episode reward: 35.172, mean reward:  0.782 [-2.547, 32.260], mean action: 8.089 [1.000, 17.000],  loss: 0.012053, mae: 0.318169, mean_q: 0.267472, mean_eps: 0.000000
  3539/30000: episode: 70, duration: 0.469s, episode steps:  45, steps per second:  96, episode reward: -34.430, mean reward: -0.765 [-32.166,  2.900], mean action: 10.444 [1.000, 21.000],  loss: 0.010582, mae: 0.323749, mean_q: 0.239327, mean_eps: 0.000000
  3572/30000: episode: 71, duration: 0.418s, episode steps:  33, steps per second:  79, episode reward: 38.067, mean reward:  1.154 [-2.678, 32.300], mean action: 3.788 [1.000, 17.000],  loss: 0.010317, mae: 0.308097, mean_q: 0.244426, mean_eps: 0.000000
  3598/30000: episode: 72, duration: 0.269s, episode steps:  26, steps per second:  97, episode reward: 38.489, mean reward:  1.480 [-2.207, 31.983], mean action: 3.346 [1.000, 8.000],  loss: 0.008676, mae: 0.305480, mean_q: 0.236737, mean_eps: 0.000000
  3626/30000: episode: 73, duration: 0.302s, episode steps:  28, steps per second:  93, episode reward: 44.025, mean reward:  1.572 [-2.115, 32.010], mean action: 3.214 [1.000, 14.000],  loss: 0.009060, mae: 0.308102, mean_q: 0.266582, mean_eps: 0.000000
  3669/30000: episode: 74, duration: 0.438s, episode steps:  43, steps per second:  98, episode reward: 40.603, mean reward:  0.944 [-2.434, 31.965], mean action: 4.767 [1.000, 17.000],  loss: 0.013162, mae: 0.325450, mean_q: 0.270116, mean_eps: 0.000000
  3701/30000: episode: 75, duration: 0.325s, episode steps:  32, steps per second:  98, episode reward: 38.190, mean reward:  1.193 [-2.403, 32.570], mean action: 3.750 [1.000, 15.000],  loss: 0.010462, mae: 0.338875, mean_q: 0.226182, mean_eps: 0.000000
  3733/30000: episode: 76, duration: 0.328s, episode steps:  32, steps per second:  98, episode reward: 38.574, mean reward:  1.205 [-2.490, 32.410], mean action: 5.438 [1.000, 17.000],  loss: 0.010409, mae: 0.306716, mean_q: 0.268928, mean_eps: 0.000000
  3752/30000: episode: 77, duration: 0.202s, episode steps:  19, steps per second:  94, episode reward: 44.621, mean reward:  2.348 [-2.152, 32.520], mean action: 2.579 [1.000, 8.000],  loss: 0.015832, mae: 0.320066, mean_q: 0.312188, mean_eps: 0.000000
  3805/30000: episode: 78, duration: 0.526s, episode steps:  53, steps per second: 101, episode reward: 32.907, mean reward:  0.621 [-3.000, 32.207], mean action: 6.830 [1.000, 21.000],  loss: 0.011785, mae: 0.299599, mean_q: 0.288131, mean_eps: 0.000000
  3839/30000: episode: 79, duration: 0.359s, episode steps:  34, steps per second:  95, episode reward: 38.904, mean reward:  1.144 [-3.000, 32.034], mean action: 2.706 [1.000, 3.000],  loss: 0.011673, mae: 0.308598, mean_q: 0.263417, mean_eps: 0.000000
  3883/30000: episode: 80, duration: 0.453s, episode steps:  44, steps per second:  97, episode reward: 32.092, mean reward:  0.729 [-3.000, 32.080], mean action: 5.818 [1.000, 21.000],  loss: 0.011979, mae: 0.307787, mean_q: 0.285121, mean_eps: 0.000000
  3918/30000: episode: 81, duration: 0.365s, episode steps:  35, steps per second:  96, episode reward: 34.500, mean reward:  0.986 [-2.203, 32.021], mean action: 7.171 [1.000, 21.000],  loss: 0.010701, mae: 0.304955, mean_q: 0.288556, mean_eps: 0.000000
  3972/30000: episode: 82, duration: 0.535s, episode steps:  54, steps per second: 101, episode reward: 35.680, mean reward:  0.661 [-2.738, 31.998], mean action: 9.556 [1.000, 18.000],  loss: 0.010179, mae: 0.319786, mean_q: 0.254267, mean_eps: 0.000000
  4001/30000: episode: 83, duration: 0.305s, episode steps:  29, steps per second:  95, episode reward: 41.007, mean reward:  1.414 [-2.517, 32.070], mean action: 4.586 [1.000, 17.000],  loss: 0.010676, mae: 0.321636, mean_q: 0.206298, mean_eps: 0.000000
  4038/30000: episode: 84, duration: 0.387s, episode steps:  37, steps per second:  96, episode reward: 38.551, mean reward:  1.042 [-3.000, 32.270], mean action: 2.946 [0.000, 7.000],  loss: 0.014342, mae: 0.334060, mean_q: 0.248473, mean_eps: 0.000000
  4086/30000: episode: 85, duration: 0.493s, episode steps:  48, steps per second:  97, episode reward: 33.000, mean reward:  0.688 [-3.000, 32.500], mean action: 6.854 [1.000, 18.000],  loss: 0.007977, mae: 0.303488, mean_q: 0.228957, mean_eps: 0.000000
  4122/30000: episode: 86, duration: 0.368s, episode steps:  36, steps per second:  98, episode reward: 40.158, mean reward:  1.115 [-2.214, 31.811], mean action: 3.472 [1.000, 14.000],  loss: 0.011257, mae: 0.299516, mean_q: 0.268591, mean_eps: 0.000000
  4146/30000: episode: 87, duration: 0.255s, episode steps:  24, steps per second:  94, episode reward: 41.104, mean reward:  1.713 [-2.469, 32.515], mean action: 4.333 [1.000, 8.000],  loss: 0.012937, mae: 0.307192, mean_q: 0.291371, mean_eps: 0.000000
  4179/30000: episode: 88, duration: 0.337s, episode steps:  33, steps per second:  98, episode reward: 35.845, mean reward:  1.086 [-2.492, 32.330], mean action: 4.000 [1.000, 21.000],  loss: 0.012433, mae: 0.316414, mean_q: 0.251983, mean_eps: 0.000000
  4207/30000: episode: 89, duration: 0.292s, episode steps:  28, steps per second:  96, episode reward: 32.669, mean reward:  1.167 [-3.000, 32.050], mean action: 3.679 [0.000, 21.000],  loss: 0.014279, mae: 0.300713, mean_q: 0.296508, mean_eps: 0.000000
  4241/30000: episode: 90, duration: 0.357s, episode steps:  34, steps per second:  95, episode reward: 41.517, mean reward:  1.221 [-3.000, 32.270], mean action: 2.706 [1.000, 18.000],  loss: 0.009746, mae: 0.288897, mean_q: 0.259576, mean_eps: 0.000000
  4283/30000: episode: 91, duration: 0.508s, episode steps:  42, steps per second:  83, episode reward: 45.890, mean reward:  1.093 [-0.540, 32.140], mean action: 2.690 [1.000, 8.000],  loss: 0.012524, mae: 0.295363, mean_q: 0.280300, mean_eps: 0.000000
  4300/30000: episode: 92, duration: 0.182s, episode steps:  17, steps per second:  93, episode reward: 45.000, mean reward:  2.647 [ 0.000, 30.242], mean action: 4.118 [1.000, 10.000],  loss: 0.011804, mae: 0.318700, mean_q: 0.239100, mean_eps: 0.000000
  4327/30000: episode: 93, duration: 0.294s, episode steps:  27, steps per second:  92, episode reward: 35.855, mean reward:  1.328 [-2.480, 32.360], mean action: 2.556 [0.000, 10.000],  loss: 0.011286, mae: 0.295206, mean_q: 0.306607, mean_eps: 0.000000
  4382/30000: episode: 94, duration: 0.550s, episode steps:  55, steps per second: 100, episode reward: -32.470, mean reward: -0.590 [-32.538,  2.670], mean action: 6.236 [1.000, 21.000],  loss: 0.010122, mae: 0.304057, mean_q: 0.281060, mean_eps: 0.000000
  4413/30000: episode: 95, duration: 0.339s, episode steps:  31, steps per second:  92, episode reward: 41.027, mean reward:  1.323 [-2.345, 31.827], mean action: 4.065 [1.000, 21.000],  loss: 0.011666, mae: 0.314493, mean_q: 0.278347, mean_eps: 0.000000
  4446/30000: episode: 96, duration: 0.356s, episode steps:  33, steps per second:  93, episode reward: 43.684, mean reward:  1.324 [-2.078, 32.650], mean action: 4.000 [1.000, 15.000],  loss: 0.012938, mae: 0.319872, mean_q: 0.263066, mean_eps: 0.000000
  4496/30000: episode: 97, duration: 0.512s, episode steps:  50, steps per second:  98, episode reward: 37.539, mean reward:  0.751 [-2.431, 32.090], mean action: 7.320 [1.000, 21.000],  loss: 0.013477, mae: 0.319865, mean_q: 0.278938, mean_eps: 0.000000
  4526/30000: episode: 98, duration: 0.317s, episode steps:  30, steps per second:  95, episode reward: 38.852, mean reward:  1.295 [-2.579, 32.233], mean action: 2.400 [0.000, 15.000],  loss: 0.011826, mae: 0.312344, mean_q: 0.280035, mean_eps: 0.000000
  4559/30000: episode: 99, duration: 0.341s, episode steps:  33, steps per second:  97, episode reward: 39.876, mean reward:  1.208 [-2.875, 32.202], mean action: 4.697 [1.000, 17.000],  loss: 0.011521, mae: 0.305158, mean_q: 0.292332, mean_eps: 0.000000
  4587/30000: episode: 100, duration: 0.296s, episode steps:  28, steps per second:  95, episode reward: 42.558, mean reward:  1.520 [-2.081, 32.360], mean action: 7.321 [1.000, 21.000],  loss: 0.009969, mae: 0.298602, mean_q: 0.290441, mean_eps: 0.000000
  4646/30000: episode: 101, duration: 0.588s, episode steps:  59, steps per second: 100, episode reward: 32.108, mean reward:  0.544 [-2.789, 32.110], mean action: 8.458 [1.000, 21.000],  loss: 0.013635, mae: 0.305318, mean_q: 0.298879, mean_eps: 0.000000
  4681/30000: episode: 102, duration: 0.362s, episode steps:  35, steps per second:  97, episode reward: 40.982, mean reward:  1.171 [-2.516, 32.210], mean action: 3.629 [1.000, 16.000],  loss: 0.015051, mae: 0.323400, mean_q: 0.285390, mean_eps: 0.000000
  4743/30000: episode: 103, duration: 0.607s, episode steps:  62, steps per second: 102, episode reward: 35.163, mean reward:  0.567 [-2.931, 31.994], mean action: 5.452 [1.000, 21.000],  loss: 0.011513, mae: 0.307061, mean_q: 0.253426, mean_eps: 0.000000
  4772/30000: episode: 104, duration: 0.334s, episode steps:  29, steps per second:  87, episode reward: 43.472, mean reward:  1.499 [-2.055, 32.030], mean action: 3.172 [1.000, 17.000],  loss: 0.011090, mae: 0.302239, mean_q: 0.249694, mean_eps: 0.000000
  4793/30000: episode: 105, duration: 0.230s, episode steps:  21, steps per second:  91, episode reward: 38.780, mean reward:  1.847 [-2.902, 32.780], mean action: 3.048 [1.000, 10.000],  loss: 0.012459, mae: 0.299169, mean_q: 0.264074, mean_eps: 0.000000
  4833/30000: episode: 106, duration: 0.433s, episode steps:  40, steps per second:  92, episode reward: 32.940, mean reward:  0.823 [-3.000, 32.480], mean action: 10.075 [1.000, 21.000],  loss: 0.012124, mae: 0.300969, mean_q: 0.283253, mean_eps: 0.000000
