params 0
{'model_type': 'dqn_agent', 'l1_out': 128, 'l2_out': 64, 'gamma': 0.5, 'target_model_update': 1, 'delta_clip': 0.01, 'nb_steps_warmup': 1000, 'enable_dueling_dqn__': False, 'enable_double_dqn__': True, 'dueling_type__': 'avg'}
trial 0
Training for 10000 steps ...
   34/10000: episode: 1, duration: 1.277s, episode steps:  34, steps per second:  27, episode reward: -39.000, mean reward: -1.147 [-32.079,  3.000], mean action: 14.941 [7.000, 21.000],  loss: --, mae: --, mean_q: --, mean_eps: --
 1232/10000: episode: 37, duration: 0.212s, episode steps:  17, steps per second:  80, episode reward: -44.310, mean reward: -2.606 [-33.000,  2.520], mean action: 10.706 [1.000, 18.000],  loss: 0.015570, mae: 0.503626, mean_q: 0.103416, mean_eps: 0.000000
 1258/10000: episode: 38, duration: 0.364s, episode steps:  26, steps per second:  71, episode reward: -35.380, mean reward: -1.361 [-32.228,  3.310], mean action: 9.692 [1.000, 18.000],  loss: 0.018732, mae: 0.551526, mean_q: 0.077036, mean_eps: 0.000000
 1289/10000: episode: 39, duration: 0.339s, episode steps:  31, steps per second:  91, episode reward: 32.252, mean reward:  1.040 [-2.232, 32.264], mean action: 7.290 [1.000, 18.000],  loss: 0.016732, mae: 0.519208, mean_q: 0.108921, mean_eps: 0.000000
 1316/10000: episode: 40, duration: 0.307s, episode steps:  27, steps per second:  88, episode reward: -42.000, mean reward: -1.556 [-32.145,  2.233], mean action: 8.148 [1.000, 17.000],  loss: 0.015259, mae: 0.551568, mean_q: 0.031996, mean_eps: 0.000000
 1366/10000: episode: 41, duration: 0.605s, episode steps:  50, steps per second:  83, episode reward: -32.860, mean reward: -0.657 [-32.020,  2.320], mean action: 12.320 [1.000, 21.000],  loss: 0.015437, mae: 0.572613, mean_q: -0.002589, mean_eps: 0.000000
 1386/10000: episode: 42, duration: 0.217s, episode steps:  20, steps per second:  92, episode reward: -38.880, mean reward: -1.944 [-32.125,  2.620], mean action: 12.800 [1.000, 17.000],  loss: 0.020278, mae: 0.589663, mean_q: 0.038176, mean_eps: 0.000000
 1422/10000: episode: 43, duration: 0.402s, episode steps:  36, steps per second:  90, episode reward: -35.100, mean reward: -0.975 [-31.960,  2.291], mean action: 7.889 [1.000, 21.000],  loss: 0.017572, mae: 0.554670, mean_q: 0.077295, mean_eps: 0.000000
 1442/10000: episode: 44, duration: 0.245s, episode steps:  20, steps per second:  82, episode reward: -36.000, mean reward: -1.800 [-32.401,  3.000], mean action: 11.000 [1.000, 18.000],  loss: 0.013010, mae: 0.558726, mean_q: 0.031931, mean_eps: 0.000000
 1472/10000: episode: 45, duration: 0.341s, episode steps:  30, steps per second:  88, episode reward: -33.000, mean reward: -1.100 [-32.663,  3.060], mean action: 11.267 [1.000, 18.000],  loss: 0.015396, mae: 0.545956, mean_q: 0.064085, mean_eps: 0.000000
 1516/10000: episode: 46, duration: 0.484s, episode steps:  44, steps per second:  91, episode reward: 32.516, mean reward:  0.739 [-2.404, 32.676], mean action: 10.932 [1.000, 21.000],  loss: 0.016264, mae: 0.517820, mean_q: 0.108194, mean_eps: 0.000000
 1550/10000: episode: 47, duration: 0.395s, episode steps:  34, steps per second:  86, episode reward: -36.000, mean reward: -1.059 [-32.077,  2.036], mean action: 8.412 [1.000, 18.000],  loss: 0.018569, mae: 0.535846, mean_q: 0.070563, mean_eps: 0.000000
 1581/10000: episode: 48, duration: 0.372s, episode steps:  31, steps per second:  83, episode reward: -35.590, mean reward: -1.148 [-31.978,  3.000], mean action: 11.710 [1.000, 20.000],  loss: 0.016180, mae: 0.506951, mean_q: 0.118206, mean_eps: 0.000000
 1623/10000: episode: 49, duration: 0.465s, episode steps:  42, steps per second:  90, episode reward: -39.000, mean reward: -0.929 [-32.017,  2.910], mean action: 10.190 [1.000, 17.000],  loss: 0.017858, mae: 0.515253, mean_q: 0.118150, mean_eps: 0.000000
 1652/10000: episode: 50, duration: 0.310s, episode steps:  29, steps per second:  94, episode reward: -35.720, mean reward: -1.232 [-32.300,  2.703], mean action: 14.207 [1.000, 16.000],  loss: 0.015421, mae: 0.475689, mean_q: 0.195876, mean_eps: 0.000000
 1683/10000: episode: 51, duration: 0.441s, episode steps:  31, steps per second:  70, episode reward: -33.000, mean reward: -1.065 [-32.450,  3.000], mean action: 6.903 [1.000, 15.000],  loss: 0.019152, mae: 0.529456, mean_q: 0.133753, mean_eps: 0.000000
 1720/10000: episode: 52, duration: 0.411s, episode steps:  37, steps per second:  90, episode reward: -44.840, mean reward: -1.212 [-32.114,  2.170], mean action: 6.649 [1.000, 20.000],  loss: 0.015533, mae: 0.491839, mean_q: 0.164993, mean_eps: 0.000000
 1790/10000: episode: 53, duration: 0.747s, episode steps:  70, steps per second:  94, episode reward: 34.626, mean reward:  0.495 [-2.226, 32.714], mean action: 6.257 [1.000, 18.000],  loss: 0.014602, mae: 0.499172, mean_q: 0.106001, mean_eps: 0.000000
 1822/10000: episode: 54, duration: 0.349s, episode steps:  32, steps per second:  92, episode reward: -47.180, mean reward: -1.474 [-31.794,  0.317], mean action: 10.500 [1.000, 16.000],  loss: 0.015701, mae: 0.518939, mean_q: 0.112617, mean_eps: 0.000000
 1865/10000: episode: 55, duration: 0.455s, episode steps:  43, steps per second:  94, episode reward: -38.750, mean reward: -0.901 [-31.990,  2.938], mean action: 12.767 [1.000, 18.000],  loss: 0.015950, mae: 0.524912, mean_q: 0.070144, mean_eps: 0.000000
 1904/10000: episode: 56, duration: 0.428s, episode steps:  39, steps per second:  91, episode reward: -32.810, mean reward: -0.841 [-32.702,  2.165], mean action: 11.769 [1.000, 21.000],  loss: 0.015277, mae: 0.499833, mean_q: 0.104747, mean_eps: 0.000000
 1946/10000: episode: 57, duration: 0.486s, episode steps:  42, steps per second:  86, episode reward: -32.840, mean reward: -0.782 [-32.020,  3.080], mean action: 9.024 [1.000, 16.000],  loss: 0.017008, mae: 0.577744, mean_q: 0.029716, mean_eps: 0.000000
 1974/10000: episode: 58, duration: 0.302s, episode steps:  28, steps per second:  93, episode reward: -38.290, mean reward: -1.367 [-32.084,  2.402], mean action: 10.643 [1.000, 18.000],  loss: 0.014411, mae: 0.505602, mean_q: 0.063427, mean_eps: 0.000000
 2003/10000: episode: 59, duration: 0.362s, episode steps:  29, steps per second:  80, episode reward: -41.750, mean reward: -1.440 [-32.006,  2.229], mean action: 10.897 [7.000, 15.000],  loss: 0.015428, mae: 0.479878, mean_q: 0.101536, mean_eps: 0.000000
 2024/10000: episode: 60, duration: 0.221s, episode steps:  21, steps per second:  95, episode reward: -42.000, mean reward: -2.000 [-32.382,  2.110], mean action: 9.286 [1.000, 18.000],  loss: 0.019559, mae: 0.517807, mean_q: 0.100811, mean_eps: 0.000000
 2068/10000: episode: 61, duration: 0.474s, episode steps:  44, steps per second:  93, episode reward: -33.000, mean reward: -0.750 [-32.161,  3.000], mean action: 8.364 [1.000, 18.000],  loss: 0.014309, mae: 0.499979, mean_q: 0.098275, mean_eps: 0.000000
 2104/10000: episode: 62, duration: 0.406s, episode steps:  36, steps per second:  89, episode reward: -35.250, mean reward: -0.979 [-32.306,  3.000], mean action: 14.278 [1.000, 20.000],  loss: 0.012738, mae: 0.506502, mean_q: 0.075254, mean_eps: 0.000000
 2133/10000: episode: 63, duration: 0.664s, episode steps:  29, steps per second:  44, episode reward: 32.606, mean reward:  1.124 [-2.599, 32.280], mean action: 12.966 [1.000, 17.000],  loss: 0.015223, mae: 0.553028, mean_q: 0.058590, mean_eps: 0.000000
 2172/10000: episode: 64, duration: 0.466s, episode steps:  39, steps per second:  84, episode reward: -33.000, mean reward: -0.846 [-32.335,  3.000], mean action: 7.385 [1.000, 20.000],  loss: 0.012093, mae: 0.518025, mean_q: 0.063764, mean_eps: 0.000000
 2190/10000: episode: 65, duration: 0.202s, episode steps:  18, steps per second:  89, episode reward: 40.977, mean reward:  2.276 [-2.400, 32.533], mean action: 6.500 [1.000, 14.000],  loss: 0.018325, mae: 0.521109, mean_q: 0.095177, mean_eps: 0.000000
 2238/10000: episode: 66, duration: 0.545s, episode steps:  48, steps per second:  88, episode reward: -35.240, mean reward: -0.734 [-31.759,  2.580], mean action: 10.000 [1.000, 16.000],  loss: 0.016937, mae: 0.527452, mean_q: 0.097576, mean_eps: 0.000000
 2276/10000: episode: 67, duration: 0.443s, episode steps:  38, steps per second:  86, episode reward: -47.140, mean reward: -1.241 [-32.086,  0.216], mean action: 11.474 [1.000, 21.000],  loss: 0.015536, mae: 0.516149, mean_q: 0.083899, mean_eps: 0.000000
 2309/10000: episode: 68, duration: 0.425s, episode steps:  33, steps per second:  78, episode reward: -41.610, mean reward: -1.261 [-32.012,  2.263], mean action: 12.455 [1.000, 18.000],  loss: 0.017342, mae: 0.506827, mean_q: 0.142090, mean_eps: 0.000000
 2334/10000: episode: 69, duration: 0.303s, episode steps:  25, steps per second:  82, episode reward: -47.620, mean reward: -1.905 [-32.710,  0.445], mean action: 13.360 [5.000, 17.000],  loss: 0.018576, mae: 0.562768, mean_q: 0.084823, mean_eps: 0.000000
 2373/10000: episode: 70, duration: 0.396s, episode steps:  39, steps per second:  99, episode reward: -39.000, mean reward: -1.000 [-32.497,  2.593], mean action: 11.026 [1.000, 18.000],  loss: 0.015938, mae: 0.546076, mean_q: 0.078904, mean_eps: 0.000000
 2399/10000: episode: 71, duration: 0.870s, episode steps:  26, steps per second:  30, episode reward: -36.000, mean reward: -1.385 [-32.173,  2.903], mean action: 11.000 [1.000, 18.000],  loss: 0.020067, mae: 0.602810, mean_q: 0.063454, mean_eps: 0.000000
 2455/10000: episode: 72, duration: 0.697s, episode steps:  56, steps per second:  80, episode reward: -42.000, mean reward: -0.750 [-32.084,  2.370], mean action: 9.857 [1.000, 21.000],  loss: 0.016093, mae: 0.549884, mean_q: 0.072911, mean_eps: 0.000000
 2492/10000: episode: 73, duration: 0.396s, episode steps:  37, steps per second:  93, episode reward: 32.316, mean reward:  0.873 [-2.195, 32.350], mean action: 8.919 [1.000, 18.000],  loss: 0.015527, mae: 0.558662, mean_q: 0.039988, mean_eps: 0.000000
 2529/10000: episode: 74, duration: 0.398s, episode steps:  37, steps per second:  93, episode reward: -38.940, mean reward: -1.052 [-32.071,  2.230], mean action: 9.108 [1.000, 18.000],  loss: 0.017310, mae: 0.530400, mean_q: 0.088554, mean_eps: 0.000000
 2555/10000: episode: 75, duration: 0.320s, episode steps:  26, steps per second:  81, episode reward: -32.330, mean reward: -1.243 [-32.051,  2.490], mean action: 9.615 [1.000, 16.000],  loss: 0.018654, mae: 0.578783, mean_q: 0.041562, mean_eps: 0.000000
 2589/10000: episode: 76, duration: 0.362s, episode steps:  34, steps per second:  94, episode reward: -33.000, mean reward: -0.971 [-32.233,  2.682], mean action: 10.118 [1.000, 16.000],  loss: 0.012467, mae: 0.507967, mean_q: 0.098581, mean_eps: 0.000000
 2617/10000: episode: 77, duration: 0.508s, episode steps:  28, steps per second:  55, episode reward: -35.810, mean reward: -1.279 [-32.005,  2.318], mean action: 10.679 [1.000, 17.000],  loss: 0.017869, mae: 0.586696, mean_q: 0.014906, mean_eps: 0.000000
 2658/10000: episode: 78, duration: 0.493s, episode steps:  41, steps per second:  83, episode reward: 32.443, mean reward:  0.791 [-2.230, 32.650], mean action: 7.634 [1.000, 17.000],  loss: 0.014887, mae: 0.555682, mean_q: 0.044667, mean_eps: 0.000000
 2690/10000: episode: 79, duration: 0.391s, episode steps:  32, steps per second:  82, episode reward: -38.820, mean reward: -1.213 [-32.037,  2.440], mean action: 7.844 [1.000, 18.000],  loss: 0.015563, mae: 0.579304, mean_q: 0.019752, mean_eps: 0.000000
 2728/10000: episode: 80, duration: 0.428s, episode steps:  38, steps per second:  89, episode reward: -32.270, mean reward: -0.849 [-32.143,  2.784], mean action: 8.947 [1.000, 17.000],  loss: 0.015737, mae: 0.584185, mean_q: 0.027055, mean_eps: 0.000000
 2772/10000: episode: 81, duration: 0.472s, episode steps:  44, steps per second:  93, episode reward: -32.940, mean reward: -0.749 [-31.967,  3.000], mean action: 8.568 [1.000, 16.000],  loss: 0.016371, mae: 0.631473, mean_q: -0.009315, mean_eps: 0.000000
 2804/10000: episode: 82, duration: 0.354s, episode steps:  32, steps per second:  90, episode reward: 41.528, mean reward:  1.298 [-2.523, 32.139], mean action: 9.000 [1.000, 17.000],  loss: 0.011792, mae: 0.567819, mean_q: 0.060947, mean_eps: 0.000000
 2850/10000: episode: 83, duration: 0.493s, episode steps:  46, steps per second:  93, episode reward: 37.487, mean reward:  0.815 [-2.490, 32.120], mean action: 10.000 [1.000, 18.000],  loss: 0.015774, mae: 0.606742, mean_q: 0.005610, mean_eps: 0.000000
 2924/10000: episode: 84, duration: 0.916s, episode steps:  74, steps per second:  81, episode reward: -38.540, mean reward: -0.521 [-32.060,  2.500], mean action: 12.892 [1.000, 21.000],  loss: 0.017354, mae: 0.598403, mean_q: 0.043931, mean_eps: 0.000000
 2945/10000: episode: 85, duration: 0.237s, episode steps:  21, steps per second:  89, episode reward: 37.758, mean reward:  1.798 [-2.444, 31.848], mean action: 7.286 [1.000, 16.000],  loss: 0.013575, mae: 0.587401, mean_q: 0.058098, mean_eps: 0.000000
 2979/10000: episode: 86, duration: 0.450s, episode steps:  34, steps per second:  76, episode reward: -38.430, mean reward: -1.130 [-32.001,  2.302], mean action: 12.559 [1.000, 21.000],  loss: 0.014561, mae: 0.584790, mean_q: 0.043960, mean_eps: 0.000000
 3000/10000: episode: 87, duration: 0.243s, episode steps:  21, steps per second:  86, episode reward: -39.000, mean reward: -1.857 [-33.000,  3.000], mean action: 12.952 [1.000, 18.000],  loss: 0.016431, mae: 0.589506, mean_q: 0.035814, mean_eps: 0.000000
 3033/10000: episode: 88, duration: 0.427s, episode steps:  33, steps per second:  77, episode reward: -32.220, mean reward: -0.976 [-31.237,  2.330], mean action: 10.788 [1.000, 18.000],  loss: 0.015851, mae: 0.570377, mean_q: 0.066013, mean_eps: 0.000000
 3066/10000: episode: 89, duration: 0.353s, episode steps:  33, steps per second:  93, episode reward: -38.810, mean reward: -1.176 [-32.217,  2.320], mean action: 13.455 [1.000, 18.000],  loss: 0.017030, mae: 0.575403, mean_q: 0.032800, mean_eps: 0.000000
 3100/10000: episode: 90, duration: 0.427s, episode steps:  34, steps per second:  80, episode reward: -36.000, mean reward: -1.059 [-32.697,  2.540], mean action: 11.059 [1.000, 21.000],  loss: 0.016519, mae: 0.609139, mean_q: 0.018556, mean_eps: 0.000000
 3147/10000: episode: 91, duration: 0.579s, episode steps:  47, steps per second:  81, episode reward: 32.579, mean reward:  0.693 [-2.330, 32.270], mean action: 10.404 [1.000, 16.000],  loss: 0.013916, mae: 0.551344, mean_q: 0.066828, mean_eps: 0.000000
 3187/10000: episode: 92, duration: 0.421s, episode steps:  40, steps per second:  95, episode reward: -35.130, mean reward: -0.878 [-31.639,  2.904], mean action: 14.475 [1.000, 21.000],  loss: 0.015218, mae: 0.581665, mean_q: 0.022036, mean_eps: 0.000000
 3210/10000: episode: 93, duration: 0.247s, episode steps:  23, steps per second:  93, episode reward: 32.284, mean reward:  1.404 [-2.559, 32.310], mean action: 7.913 [1.000, 15.000],  loss: 0.014591, mae: 0.572526, mean_q: 0.026512, mean_eps: 0.000000
 3242/10000: episode: 94, duration: 0.382s, episode steps:  32, steps per second:  84, episode reward: 40.075, mean reward:  1.252 [-2.301, 33.000], mean action: 6.844 [1.000, 17.000],  loss: 0.014629, mae: 0.558361, mean_q: 0.072703, mean_eps: 0.000000
 3264/10000: episode: 95, duration: 0.239s, episode steps:  22, steps per second:  92, episode reward: 32.335, mean reward:  1.470 [-3.000, 32.887], mean action: 7.955 [1.000, 16.000],  loss: 0.014902, mae: 0.533393, mean_q: 0.109538, mean_eps: 0.000000
 3296/10000: episode: 96, duration: 0.402s, episode steps:  32, steps per second:  80, episode reward: -32.610, mean reward: -1.019 [-32.860,  2.990], mean action: 8.375 [1.000, 18.000],  loss: 0.015528, mae: 0.572166, mean_q: 0.065261, mean_eps: 0.000000
 3326/10000: episode: 97, duration: 0.365s, episode steps:  30, steps per second:  82, episode reward: -35.910, mean reward: -1.197 [-32.561,  2.923], mean action: 12.333 [1.000, 18.000],  loss: 0.016032, mae: 0.526289, mean_q: 0.098111, mean_eps: 0.000000
 3346/10000: episode: 98, duration: 0.307s, episode steps:  20, steps per second:  65, episode reward: -42.000, mean reward: -2.100 [-32.415,  2.586], mean action: 8.200 [1.000, 16.000],  loss: 0.016335, mae: 0.564160, mean_q: 0.081118, mean_eps: 0.000000
 3367/10000: episode: 99, duration: 0.310s, episode steps:  21, steps per second:  68, episode reward: -41.670, mean reward: -1.984 [-32.028,  2.110], mean action: 10.810 [1.000, 17.000],  loss: 0.013787, mae: 0.580818, mean_q: 0.027440, mean_eps: 0.000000
 3390/10000: episode: 100, duration: 0.264s, episode steps:  23, steps per second:  87, episode reward: -41.390, mean reward: -1.800 [-32.063,  1.953], mean action: 9.696 [1.000, 21.000],  loss: 0.017724, mae: 0.629683, mean_q: 0.003220, mean_eps: 0.000000
 3414/10000: episode: 101, duration: 0.248s, episode steps:  24, steps per second:  97, episode reward: -41.730, mean reward: -1.739 [-32.271,  2.620], mean action: 10.583 [1.000, 17.000],  loss: 0.015048, mae: 0.606961, mean_q: 0.011316, mean_eps: 0.000000
 3468/10000: episode: 102, duration: 0.580s, episode steps:  54, steps per second:  93, episode reward: -38.540, mean reward: -0.714 [-32.083,  2.320], mean action: 10.759 [1.000, 18.000],  loss: 0.017086, mae: 0.586802, mean_q: 0.037163, mean_eps: 0.000000
 3491/10000: episode: 103, duration: 0.268s, episode steps:  23, steps per second:  86, episode reward: 43.004, mean reward:  1.870 [-2.028, 32.320], mean action: 5.304 [1.000, 17.000],  loss: 0.018082, mae: 0.616041, mean_q: 0.042311, mean_eps: 0.000000
 3532/10000: episode: 104, duration: 0.492s, episode steps:  41, steps per second:  83, episode reward: -33.000, mean reward: -0.805 [-30.000,  2.411], mean action: 5.049 [1.000, 18.000],  loss: 0.016962, mae: 0.634314, mean_q: 0.008998, mean_eps: 0.000000
 3564/10000: episode: 105, duration: 0.542s, episode steps:  32, steps per second:  59, episode reward: -33.000, mean reward: -1.031 [-29.559,  2.850], mean action: 7.188 [1.000, 18.000],  loss: 0.015197, mae: 0.592931, mean_q: 0.012560, mean_eps: 0.000000
 3601/10000: episode: 106, duration: 0.454s, episode steps:  37, steps per second:  82, episode reward: -33.000, mean reward: -0.892 [-32.004,  2.390], mean action: 12.649 [1.000, 18.000],  loss: 0.015217, mae: 0.613519, mean_q: -0.001253, mean_eps: 0.000000
 3626/10000: episode: 107, duration: 0.303s, episode steps:  25, steps per second:  83, episode reward: 32.903, mean reward:  1.316 [-2.682, 32.713], mean action: 7.440 [1.000, 18.000],  loss: 0.017894, mae: 0.571802, mean_q: 0.061343, mean_eps: 0.000000
 3649/10000: episode: 108, duration: 0.236s, episode steps:  23, steps per second:  97, episode reward: -44.350, mean reward: -1.928 [-32.154,  2.010], mean action: 13.826 [1.000, 18.000],  loss: 0.018846, mae: 0.633627, mean_q: 0.013915, mean_eps: 0.000000
